Najwa already analysed this one.
good data but confusing activation energies
can use to convert date serial number to seconds elapsed


Time(YYYY-MM-DD HH-MM-SS)	 Date Serial Number 	 Potential (Volts)	 Temperature(Cesius)
2.0140506155646e+013	7.357256644212963e+005		1.4535993311732e+002
2.0140506155646e+013	7.357256644212963e+005		1.4509443995163e+002
2.0140506155647e+013	7.357256644328703e+005		1.4482893093969e+002
2.0140506155647e+013	7.357256644328703e+005		1.4456846376954e+002
2.0140506155648e+013	7.357256644444445e+005		1.4431051023145e+002
2.0140506155648e+013	7.357256644444445e+005		1.4405507069787e+002
2.0140506155649e+013	7.357256644560185e+005		1.4380214554094e+002
2.0140506155649e+013	7.357256644560185e+005		1.4342273017753e+002
2.0140506155650e+013	7.357256644675926e+005		1.4317229777712e+002
2.0140506155651e+013	7.357256644791666e+005		1.4293197013213e+002
2.0140506155651e+013	7.357256644791666e+005		1.4268656902525e+002
2.0140506155652e+013	7.357256644907408e+005		1.4243609352028e+002
2.0140506155652e+013	7.357256644907408e+005		1.4219572432598e+002
2.0140506155653e+013	7.357256645023148e+005		1.4195787186368e+002
2.0140506155653e+013	7.357256645023148e+005		1.4159094537880e+002
2.0140506155654e+013	7.357256645138889e+005		1.4135052780352e+002
2.0140506155654e+013	7.357256645138889e+005		1.4111009633142e+002
2.0140506155655e+013	7.357256645254630e+005		1.4087471305540e+002
2.0140506155655e+013	7.357256645254630e+005		1.4062919145518e+002
2.0140506155656e+013	7.357256645370370e+005		1.4046028805748e+002
2.0140506155656e+013	7.357256645370370e+005		1.4016088786485e+002
2.0140506155657e+013	7.357256645486112e+005		1.3979886497906e+002
2.0140506155657e+013	7.357256645486112e+005		1.3956340616093e+002
2.0140506155658e+013	7.357256645601852e+005		1.3933552969698e+002
2.0140506155658e+013	7.357256645601852e+005		1.3909751158502e+002
2.0140506155659e+013	7.357256645717593e+005		1.3886454397362e+002
2.0140506155659e+013	7.357256645717593e+005		1.3862903025910e+002
2.0140506155700e+013	7.357256645833333e+005		1.3840363307756e+002
2.0140506155700e+013	7.357256645833333e+005		1.3805664823318e+002
2.0140506155701e+013	7.357256645949074e+005		1.3782361932731e+002
2.0140506155701e+013	7.357256645949074e+005		1.3759817598803e+002
2.0140506155702e+013	7.357256646064814e+005		1.3736765302835e+002
2.0140506155702e+013	7.357256646064814e+005		1.3714218327354e+002
2.0140506155703e+013	7.357256646180556e+005		1.3691670038036e+002
2.0140506155703e+013	7.357256646180556e+005		1.3669373803482e+002
2.0140506155704e+013	7.357256646296296e+005		1.3636180418669e+002
2.0140506155704e+013	7.357256646296296e+005		1.3613627542932e+002
2.0140506155705e+013	7.357256646412037e+005		1.3591580181357e+002
2.0140506155705e+013	7.357256646412037e+005		1.3570291857024e+002
2.0140506155706e+013	7.357256646527778e+005		1.3547988516165e+002
2.0140506155706e+013	7.357256646527778e+005		1.3526444261682e+002
2.0140506155707e+013	7.357256646643519e+005		1.3505659219841e+002
2.0140506155707e+013	7.357256646643519e+005		1.3473211964601e+002
2.0140506155708e+013	7.357256646759260e+005		1.3452423954465e+002
2.0140506155708e+013	7.357256646759260e+005		1.3431381244248e+002
2.0140506155709e+013	7.357256646875000e+005		1.3410337334840e+002
2.0140506155709e+013	7.357256646875000e+005		1.3389038659057e+002
2.0140506155710e+013	7.357256646990741e+005		1.3369260209701e+002
2.0140506155710e+013	7.357256646990741e+005		1.3337815342227e+002
2.0140506155711e+013	7.357256647106481e+005		1.3317526888945e+002
2.0140506155711e+013	7.357256647106481e+005		1.3297237300137e+002
2.0140506155712e+013	7.357256647222223e+005		1.3276692930631e+002
2.0140506155712e+013	7.357256647222223e+005		1.3256908356027e+002
2.0140506155713e+013	7.357256647337963e+005		1.3237122691032e+002
2.0140506155713e+013	7.357256647337963e+005		1.3216574880982e+002
2.0140506155714e+013	7.357256647453704e+005		1.3187400029913e+002
2.0140506155715e+013	7.357256647569444e+005		1.3167864225007e+002
2.0140506155715e+013	7.357256647569444e+005		1.3148073608889e+002
2.0140506155716e+013	7.357256647685185e+005		1.3129043123443e+002
2.0140506155716e+013	7.357256647685185e+005		1.3109757847897e+002
2.0140506155717e+013	7.357256647800925e+005		1.3089963962260e+002
2.0140506155717e+013	7.357256647800925e+005		1.3071184111726e+002
2.0140506155718e+013	7.357256647916667e+005		1.3051641841648e+002
2.0140506155718e+013	7.357256647916667e+005		1.3023214758665e+002
2.0140506155719e+013	7.357256648032408e+005		1.3004685135265e+002
2.0140506155719e+013	7.357256648032408e+005		1.2985646814261e+002
2.0140506155720e+013	7.357256648148148e+005		1.2967115169714e+002
2.0140506155720e+013	7.357256648148148e+005		1.2948328644889e+002
2.0140506155721e+013	7.357256648263889e+005		1.2930048873277e+002
2.0140506155721e+013	7.357256648263889e+005		1.2902119551049e+002
2.0140506155722e+013	7.357256648379630e+005		1.2883583369398e+002
2.0140506155722e+013	7.357256648379630e+005		1.2866061935887e+002
2.0140506155723e+013	7.357256648495371e+005		1.2847523777082e+002
2.0140506155723e+013	7.357256648495371e+005		1.2829238565679e+002
2.0140506155724e+013	7.357256648611111e+005		1.2810952358277e+002
2.0140506155724e+013	7.357256648611111e+005		1.2793427138879e+002
2.0140506155725e+013	7.357256648726852e+005		1.2766248529006e+002
2.0140506155725e+013	7.357256648726852e+005		1.2748466928390e+002
2.0140506155726e+013	7.357256648842592e+005		1.2730938417388e+002
2.0140506155726e+013	7.357256648842592e+005		1.2712900863665e+002
2.0140506155727e+013	7.357256648958334e+005		1.2694862323365e+002
2.0140506155727e+013	7.357256648958334e+005		1.2677076878440e+002
2.0140506155728e+013	7.357256649074074e+005		1.2659798665632e+002
2.0140506155728e+013	7.357256649074074e+005		1.2632863160030e+002
2.0140506155729e+013	7.357256649189815e+005		1.2615836739595e+002
2.0140506155729e+013	7.357256649189815e+005		1.2598046989218e+002
2.0140506155730e+013	7.357256649305555e+005		1.2580256262390e+002
2.0140506155730e+013	7.357256649305555e+005		1.2563227078199e+002
2.0140506155731e+013	7.357256649421296e+005		1.2545434432447e+002
2.0140506155731e+013	7.357256649421296e+005		1.2528149205317e+002
2.0140506155732e+013	7.357256649537038e+005		1.2501965395134e+002
2.0140506155732e+013	7.357256649537038e+005		1.2483915111968e+002
2.0140506155733e+013	7.357256649652778e+005		1.2466880808449e+002
2.0140506155733e+013	7.357256649652778e+005		1.2448065740431e+002
2.0140506155734e+013	7.357256649768519e+005		1.2430012395520e+002
2.0140506155734e+013	7.357256649768519e+005		1.2410940840814e+002
2.0140506155735e+013	7.357256649884259e+005		1.2392376752729e+002
2.0140506155735e+013	7.357256649884259e+005		1.2362875397343e+002
2.0140506155736e+013	7.357256650000000e+005		1.2349973651138e+002
2.0140506155737e+013	7.357256650115741e+005		1.2325231697891e+002
2.0140506155737e+013	7.357256650115741e+005		1.2305645001256e+002
2.0140506155738e+013	7.357256650231482e+005		1.2286565861656e+002
2.0140506155738e+013	7.357256650231482e+005		1.2266976721361e+002
2.0140506155739e+013	7.357256650347222e+005		1.2248404050604e+002
2.0140506155739e+013	7.357256650347222e+005		1.2220415716616e+002
2.0140506155740e+013	7.357256650462963e+005		1.2202094696685e+002
2.0140506155740e+013	7.357256650462963e+005		1.2184281541396e+002
2.0140506155741e+013	7.357256650578703e+005		1.2165958353185e+002
2.0140506155741e+013	7.357256650578703e+005		1.2147634061033e+002
2.0140506155742e+013	7.357256650694445e+005		1.2130072242325e+002
2.0140506155742e+013	7.357256650694445e+005		1.2112000321258e+002
2.0140506155743e+013	7.357256650810185e+005		1.2085781384395e+002
2.0140506155743e+013	7.357256650810185e+005		1.2069488854901e+002
2.0140506155744e+013	7.357256650925926e+005		1.2052177072578e+002
2.0140506155744e+013	7.357256650925926e+005		1.2035373502442e+002
2.0140506155745e+013	7.357256651041667e+005		1.2018568986327e+002
2.0140506155745e+013	7.357256651041667e+005		1.2001508886302e+002
2.0140506155746e+013	7.357256651157407e+005		1.1984702456675e+002
2.0140506155746e+013	7.357256651157407e+005		1.1960000367477e+002
2.0140506155747e+013	7.357256651273149e+005		1.1943955636135e+002
2.0140506155747e+013	7.357256651273149e+005		1.1933837703967e+002
2.0140506155748e+013	7.357256651388889e+005		1.1911099410132e+002
2.0140506155748e+013	7.357256651388889e+005		1.1894797281737e+002
2.0140506155749e+013	7.357256651504630e+005		1.1878494245062e+002
2.0140506155749e+013	7.357256651504630e+005		1.1861426028021e+002
2.0140506155750e+013	7.357256651620370e+005		1.1836713552586e+002
2.0140506155750e+013	7.357256651620370e+005		1.1820152469300e+002
2.0140506155751e+013	7.357256651736111e+005		1.1803590438775e+002
2.0140506155751e+013	7.357256651736111e+005		1.1787027458706e+002
2.0140506155752e+013	7.357256651851852e+005		1.1770973200446e+002
2.0140506155752e+013	7.357256651851852e+005		1.1755172896640e+002
2.0140506155753e+013	7.357256651967593e+005		1.1739371722775e+002
2.0140506155753e+013	7.357256651967593e+005		1.1716178097377e+002
2.0140506155754e+013	7.357256652083333e+005		1.1701139465241e+002
2.0140506155754e+013	7.357256652083333e+005		1.1686100038978e+002
2.0140506155755e+013	7.357256652199074e+005		1.1671059816851e+002
2.0140506155755e+013	7.357256652199074e+005		1.1656018797118e+002
2.0140506155756e+013	7.357256652314814e+005		1.1641231930793e+002
2.0140506155756e+013	7.357256652314814e+005		1.1626444290332e+002
2.0140506155757e+013	7.357256652430556e+005		1.1604516360489e+002
2.0140506155757e+013	7.357256652430556e+005		1.1590746786200e+002
2.0140506155758e+013	7.357256652546297e+005		1.1575956490493e+002
2.0140506155758e+013	7.357256652546297e+005		1.1561675463488e+002
2.0140506155759e+013	7.357256652662037e+005		1.1547393706479e+002
2.0140506155800e+013	7.357256652777778e+005		1.1533621319455e+002
2.0140506155800e+013	7.357256652777778e+005		1.1519338124140e+002
2.0140506155801e+013	7.357256652893518e+005		1.1498932284972e+002
2.0140506155801e+013	7.357256652893518e+005		1.1484902398787e+002
2.0140506155802e+013	7.357256653009260e+005		1.1470616692254e+002
2.0140506155802e+013	7.357256653009260e+005		1.1457350731120e+002
2.0140506155803e+013	7.357256653125000e+005		1.1443573864436e+002
2.0140506155803e+013	7.357256653125000e+005		1.1429286014211e+002
2.0140506155804e+013	7.357256653240741e+005		1.1416273217638e+002
2.0140506155804e+013	7.357256653240741e+005		1.1395859741858e+002
2.0140506155805e+013	7.357256653356481e+005		1.1382079783562e+002
2.0140506155805e+013	7.357256653356481e+005		1.1369064739049e+002
2.0140506155806e+013	7.357256653472222e+005		1.1355028209207e+002
2.0140506155806e+013	7.357256653472222e+005		1.1341756641298e+002
2.0140506155807e+013	7.357256653587963e+005		1.1328484423877e+002
2.0140506155807e+013	7.357256653587963e+005		1.1315722062702e+002
2.0140506155808e+013	7.357256653703704e+005		1.1296066847300e+002
2.0140506155808e+013	7.357256653703704e+005		1.1282281815398e+002
2.0140506155809e+013	7.357256653819444e+005		1.1269772564108e+002
2.0140506155809e+013	7.357256653819444e+005		1.1256496803050e+002
2.0140506155810e+013	7.357256653935185e+005		1.1243475706566e+002
2.0140506155810e+013	7.357256653935185e+005		1.1231219978266e+002
2.0140506155811e+013	7.357256654050926e+005		1.1217686958560e+002
2.0140506155811e+013	7.357256654050926e+005		1.1199046014520e+002
2.0140506155812e+013	7.357256654166667e+005		1.1186022114494e+002
2.0140506155812e+013	7.357256654166667e+005		1.1173508354122e+002
2.0140506155813e+013	7.357256654282408e+005		1.1157673770041e+002
2.0140506155813e+013	7.357256654282408e+005		1.1140050296183e+002
2.0140506155814e+013	7.357256654398148e+005		1.1123447396880e+002
2.0140506155814e+013	7.357256654398148e+005		1.1107098904385e+002
2.0140506155815e+013	7.357256654513889e+005		1.1085129015998e+002
2.0140506155815e+013	7.357256654513889e+005		1.1071333028923e+002
2.0140506155816e+013	7.357256654629629e+005		1.1056514306526e+002
2.0140506155816e+013	7.357256654629629e+005		1.1043483355823e+002
2.0140506155817e+013	7.357256654745371e+005		1.1029940697199e+002
2.0140506155817e+013	7.357256654745371e+005		1.1016652875443e+002
2.0140506155818e+013	7.357256654861111e+005		1.1003108819187e+002
2.0140506155818e+013	7.357256654861111e+005		1.0983685918719e+002
2.0140506155819e+013	7.357256654976852e+005		1.0970906899518e+002
2.0140506155819e+013	7.357256654976852e+005		1.0958127247895e+002
2.0140506155820e+013	7.357256655092592e+005		1.0945346962735e+002
2.0140506155820e+013	7.357256655092592e+005		1.0933332916030e+002
2.0140506155821e+013	7.357256655208333e+005		1.0921573943441e+002
2.0140506155821e+013	7.357256655208333e+005		1.0903934473799e+002
2.0140506155822e+013	7.357256655324074e+005		1.0891407155986e+002
2.0140506155823e+013	7.357256655439815e+005		1.0885596694276e+002
2.0140506155823e+013	7.357256655439815e+005		1.0867884818036e+002
2.0140506155824e+013	7.357256655555556e+005		1.0855867133825e+002
2.0140506155824e+013	7.357256655555556e+005		1.0849800154509e+002
2.0140506155825e+013	7.357256655671296e+005		1.0832341512145e+002
2.0140506155825e+013	7.357256655671296e+005		1.0820577883423e+002
2.0140506155826e+013	7.357256655787038e+005		1.0809395146068e+002
2.0140506155826e+013	7.357256655787038e+005		1.0791677952091e+002
2.0140506155827e+013	7.357256655902778e+005		1.0780423986746e+002
2.0140506155827e+013	7.357256655902778e+005		1.0768402150305e+002
2.0140506155828e+013	7.357256656018519e+005		1.0757147144479e+002
2.0140506155828e+013	7.357256656018519e+005		1.0745635821468e+002
2.0140506155829e+013	7.357256656134259e+005		1.0728495761482e+002
2.0140506155829e+013	7.357256656134259e+005		1.0716727279672e+002
2.0140506155830e+013	7.357256656250000e+005		1.0705725806417e+002
2.0140506155830e+013	7.357256656250000e+005		1.0695235577939e+002
2.0140506155831e+013	7.357256656365740e+005		1.0683977280572e+002
2.0140506155831e+013	7.357256656365740e+005		1.0672462586023e+002
2.0140506155832e+013	7.357256656481482e+005		1.0661459157201e+002
2.0140506155832e+013	7.357256656481482e+005		1.0645336973271e+002
2.0140506155833e+013	7.357256656597222e+005		1.0634076412943e+002
2.0140506155833e+013	7.357256656597222e+005		1.0623327217983e+002
2.0140506155834e+013	7.357256656712963e+005		1.0612833504971e+002
2.0140506155834e+013	7.357256656712963e+005		1.0608040410411e+002
2.0140506155835e+013	7.357256656828703e+005		1.0597034115193e+002
2.0140506155835e+013	7.357256656828703e+005		1.0580325752910e+002
2.0140506155836e+013	7.357256656944444e+005		1.0564198264798e+002
2.0140506155836e+013	7.357256656944444e+005		1.0552933993148e+002
2.0140506155837e+013	7.357256657060186e+005		1.0542437273508e+002
2.0140506155837e+013	7.357256657060186e+005		1.0537898832215e+002
2.0140506155838e+013	7.357256657175926e+005		1.0521442481517e+002
2.0140506155838e+013	7.357256657175926e+005		1.0516391549644e+002
2.0140506155839e+013	7.357256657291667e+005		1.0499933746874e+002
2.0140506155839e+013	7.357256657291667e+005		1.0483800947644e+002
2.0140506155840e+013	7.357256657407407e+005		1.0479773591802e+002
2.0140506155840e+013	7.357256657407407e+005		1.0463057200991e+002
2.0140506155841e+013	7.357256657523149e+005		1.0452812720061e+002
2.0140506155841e+013	7.357256657523149e+005		1.0442823933174e+002
2.0140506155842e+013	7.357256657638889e+005		1.0432066315904e+002
2.0140506155842e+013	7.357256657638889e+005		1.0421308218687e+002
2.0140506155843e+013	7.357256657754630e+005		1.0406451008424e+002
2.0140506155843e+013	7.357256657754630e+005		1.0396204121540e+002
2.0140506155844e+013	7.357256657870370e+005		1.0385956797257e+002
2.0140506155844e+013	7.357256657870370e+005		1.0375452835308e+002
2.0140506155845e+013	7.357256657986111e+005		1.0372192279571e+002
2.0140506155846e+013	7.357256658101851e+005		1.0355724636524e+002
2.0140506155846e+013	7.357256658101851e+005		1.0351951362312e+002
2.0140506155847e+013	7.357256658217593e+005		1.0336833608725e+002
2.0140506155847e+013	7.357256658217593e+005		1.0321388558519e+002
2.0140506155848e+013	7.357256658333334e+005		1.0311394291999e+002
2.0140506155848e+013	7.357256658333334e+005		1.0300887045604e+002
2.0140506155849e+013	7.357256658449074e+005		1.0291404496968e+002
2.0140506155849e+013	7.357256658449074e+005		1.0281921568875e+002
2.0140506155850e+013	7.357256658564815e+005		1.0272181949955e+002
2.0140506155850e+013	7.357256658564815e+005		1.0257571769062e+002
2.0140506155851e+013	7.357256658680555e+005		1.0247831146043e+002
2.0140506155851e+013	7.357256658680555e+005		1.0244312496725e+002
2.0140506155852e+013	7.357256658796297e+005		1.0228861408703e+002
2.0140506155852e+013	7.357256658796297e+005		1.0225342475808e+002
2.0140506155853e+013	7.357256658912037e+005		1.0209890141046e+002
2.0140506155853e+013	7.357256658912037e+005		1.0206114541044e+002
2.0140506155854e+013	7.357256659027778e+005		1.0186558505552e+002
2.0140506155854e+013	7.357256659027778e+005		1.0182782529449e+002
2.0140506155855e+013	7.357256659143518e+005		1.0173551640798e+002
2.0140506155855e+013	7.357256659143518e+005		1.0158095887006e+002
2.0140506155856e+013	7.357256659259260e+005		1.0148607575870e+002
2.0140506155856e+013	7.357256659259260e+005		1.0139118878128e+002
2.0140506155857e+013	7.357256659375000e+005		1.0130399192991e+002
2.0140506155857e+013	7.357256659375000e+005		1.0115523680564e+002
2.0140506155858e+013	7.357256659490741e+005		1.0106546616768e+002
2.0140506155858e+013	7.357256659490741e+005		1.0096799696514e+002
2.0140506155859e+013	7.357256659606481e+005		1.0087821906775e+002
2.0140506155859e+013	7.357256659606481e+005		1.0084557361100e+002
2.0140506155900e+013	7.357256659722222e+005		1.0069352213868e+002
2.0140506155900e+013	7.357256659722222e+005		1.0060116812976e+002
2.0140506155901e+013	7.357256659837964e+005		1.0046006457709e+002
2.0140506155901e+013	7.357256659837964e+005		1.0037026690085e+002
2.0140506155902e+013	7.357256659953704e+005		1.0028303151173e+002
2.0140506155902e+013	7.357256659953704e+005		1.0019579280678e+002
2.0140506155903e+013	7.357256660069445e+005		1.0010085279708e+002
2.0140506155903e+013	7.357256660069445e+005		1.0001617325160e+002
2.0140506155904e+013	7.357256660185185e+005		9.9986081682270e+001
2.0140506155904e+013	7.357256660185185e+005		9.9790345797230e+001
2.0140506155905e+013	7.357256660300926e+005		9.9705654742167e+001
2.0140506155905e+013	7.357256660300926e+005		9.9680692028437e+001
2.0140506155906e+013	7.357256660416666e+005		9.9525996627723e+001
2.0140506155906e+013	7.357256660416666e+005		9.9443862478935e+001
2.0140506155907e+013	7.357256660532408e+005		9.9343757470418e+001
2.0140506155907e+013	7.357256660532408e+005		9.9264183672886e+001
2.0140506155908e+013	7.357256660648148e+005		9.9185309099050e+001
2.0140506155909e+013	7.357256660763889e+005		9.9043415927233e+001
2.0140506155909e+013	7.357256660763889e+005		9.8953562421023e+001
2.0140506155910e+013	7.357256660879629e+005		9.8928591430598e+001
2.0140506155910e+013	7.357256660879629e+005		9.8843868199581e+001
2.0140506155911e+013	7.357256660995371e+005		9.8759141786636e+001
2.0140506155911e+013	7.357256660995371e+005		9.8630762363091e+001
2.0140506155912e+013	7.357256661111111e+005		9.8543460171992e+001
2.0140506155912e+013	7.357256661111111e+005		9.8398958673383e+001
2.0140506155913e+013	7.357256661226852e+005		9.8319351537713e+001
2.0140506155913e+013	7.357256661226852e+005		9.8237173464857e+001
2.0140506155914e+013	7.357256661342593e+005		9.8214762657882e+001
2.0140506155914e+013	7.357256661342593e+005		9.8132580746952e+001
2.0140506155915e+013	7.357256661458333e+005		9.7949526444014e+001
2.0140506155915e+013	7.357256661458333e+005		9.7872471845516e+001
2.0140506155916e+013	7.357256661574075e+005		9.7850057380711e+001
2.0140506155916e+013	7.357256661574075e+005		9.7705511078289e+001
2.0140506155917e+013	7.357256661689815e+005		9.7683094933460e+001
2.0140506155917e+013	7.357256661689815e+005		9.7600893435709e+001
2.0140506155918e+013	7.357256661805556e+005		9.7464037961528e+001
2.0140506155918e+013	7.357256661805556e+005		9.7379259257223e+001
2.0140506155919e+013	7.357256661921296e+005		9.7258508232578e+001
2.0140506155919e+013	7.357256661921296e+005		9.7176291001126e+001
2.0140506155920e+013	7.357256662037037e+005		9.7091501280289e+001
2.0140506155920e+013	7.357256662037037e+005		9.7074217843172e+001
2.0140506155921e+013	7.357256662152777e+005		9.6991993757146e+001
2.0140506155921e+013	7.357256662152777e+005		9.6857670334469e+001
2.0140506155922e+013	7.357256662268519e+005		9.6742030482157e+001
2.0140506155922e+013	7.357256662268519e+005		9.6659794001697e+001
2.0140506155923e+013	7.357256662384259e+005		9.6577554445125e+001
2.0140506155923e+013	7.357256662384259e+005		9.6503022187261e+001
2.0140506155924e+013	7.357256662500000e+005		9.6485734130341e+001
2.0140506155924e+013	7.357256662500000e+005		9.6408628523025e+001
2.0140506155925e+013	7.357256662615740e+005		9.6334090524571e+001
2.0140506155925e+013	7.357256662615740e+005		9.6251838754629e+001
2.0140506155926e+013	7.357256662731482e+005		9.6141308069280e+001
2.0140506155926e+013	7.357256662731482e+005		9.6066760962453e+001
2.0140506155927e+013	7.357256662847223e+005		9.5987069861130e+001
2.0140506155927e+013	7.357256662847223e+005		9.5912517485541e+001
2.0140506155928e+013	7.357256662962963e+005		9.5772985926948e+001
2.0140506155928e+013	7.357256662962963e+005		9.5755692092921e+001
2.0140506155929e+013	7.357256663078704e+005		9.5645136253247e+001
2.0140506155929e+013	7.357256663078704e+005		9.5513301411269e+001
2.0140506155930e+013	7.357256663194444e+005		9.5498576816453e+001
2.0140506155931e+013	7.357256663310186e+005		9.5359018668829e+001
2.0140506155931e+013	7.357256663310186e+005		9.5352007476261e+001
2.0140506155932e+013	7.357256663425926e+005		9.5220154802683e+001
2.0140506155932e+013	7.357256663425926e+005		9.5150719525820e+001
2.0140506155933e+013	7.357256663541667e+005		9.5037560958500e+001
2.0140506155933e+013	7.357256663541667e+005		9.5030548723126e+001
2.0140506155934e+013	7.357256663657407e+005		9.4953391501139e+001
2.0140506155934e+013	7.357256663657407e+005		9.4824086587234e+001
2.0140506155935e+013	7.357256663773148e+005		9.4759782930608e+001
2.0140506155935e+013	7.357256663773148e+005		9.4745053197740e+001
2.0140506155936e+013	7.357256663888888e+005		9.4673030326037e+001
2.0140506155936e+013	7.357256663888888e+005		9.4507694040884e+001
2.0140506155937e+013	7.357256664004630e+005		9.4438235775684e+001
2.0140506155937e+013	7.357256664004630e+005		9.4366202603818e+001
2.0140506155938e+013	7.357256664120370e+005		9.4304457956083e+001
2.0140506155938e+013	7.357256664120370e+005		9.4289725095885e+001
2.0140506155939e+013	7.357256664236111e+005		9.4222832588929e+001
2.0140506155939e+013	7.357256664236111e+005		9.4098629585594e+001
2.0140506155940e+013	7.357256664351852e+005		9.3990561747619e+001
2.0140506155940e+013	7.357256664351852e+005		9.3991265426093e+001
2.0140506155941e+013	7.357256664467593e+005		9.3921790374790e+001
2.0140506155941e+013	7.357256664467593e+005		9.3849739779828e+001
2.0140506155942e+013	7.357256664583334e+005		9.3728088459641e+001
2.0140506155942e+013	7.357256664583334e+005		9.3718498498276e+001
2.0140506155943e+013	7.357256664699074e+005		9.3646441015465e+001
2.0140506155943e+013	7.357256664699074e+005		9.3551218447743e+001
2.0140506155944e+013	7.357256664814815e+005		9.3484302734741e+001
2.0140506155944e+013	7.357256664814815e+005		9.3357482719947e+001
2.0140506155945e+013	7.357256664930555e+005		9.3295708793962e+001
2.0140506155945e+013	7.357256664930555e+005		9.3228785004511e+001
2.0140506155946e+013	7.357256665046297e+005		9.3226914902230e+001
2.0140506155946e+013	7.357256665046297e+005		9.3094931065492e+001
2.0140506155947e+013	7.357256665162037e+005		9.3057021763434e+001
2.0140506155947e+013	7.357256665162037e+005		9.2932750492477e+001
2.0140506155948e+013	7.357256665277778e+005		9.2930880127760e+001
2.0140506155948e+013	7.357256665277778e+005		9.2861370284300e+001
2.0140506155949e+013	7.357256665393518e+005		9.2737087463541e+001
2.0140506155949e+013	7.357256665393518e+005		9.2675295355497e+001
2.0140506155950e+013	7.357256665509259e+005		9.2673424761795e+001
2.0140506155950e+013	7.357256665509259e+005		9.2513082417316e+001
2.0140506155951e+013	7.357256665624999e+005		9.2451283711459e+001
2.0140506155951e+013	7.357256665624999e+005		9.2441687944648e+001
2.0140506155952e+013	7.357256665740741e+005		9.2382462202553e+001
2.0140506155952e+013	7.357256665740741e+005		9.2263301434852e+001
2.0140506155953e+013	7.357256665856482e+005		9.2256280031520e+001
2.0140506155954e+013	7.357256665972222e+005		9.2137112069669e+001
2.0140506155954e+013	7.357256665972222e+005		9.2036670183905e+001
2.0140506155955e+013	7.357256666087963e+005		9.1972281814836e+001
2.0140506155955e+013	7.357256666087963e+005		9.1970410592310e+001
2.0140506155956e+013	7.357256666203704e+005		9.1908595830258e+001
2.0140506155956e+013	7.357256666203704e+005		9.1841627766745e+001
